ISO CODE;FEAT_NAME;LEVEL;CONTINENT;Flux Total en Fcfa;AFRILAND FIRST BANK;BACI;BBG-CI;BDA;BGFIBank;BHCI;BICICI;BMS;BNI;BOA-CI;BRM-CI;BSIC-CI;CBI-CI;CITIBANK;CNCE;DBCI;ECOBANK-CI;GTBANK-CI;NSIA BANQUE;ORABANK;SCBCI;SGCI;SIB;STABIC BANK;UBA;VERSUSBANK
ISO CODE;FEAT_NAME;LEVEL;CONTINENT;FLD1;FLD2;FLD3;FLD4;FLD5;FLD6;FLD7;FLD8;FLD9;FLD10;FLD11;FLD12;FLD13;FLD14;FLD15;FLD16;FLD17;FLD18;FLD19;FLD20;FLD21;FLD22;FLD23;FLD24;FLD25;FLD26;FLD27
MK;Macédoine Du Nord;CTR;Europe; 6 036 247   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 1 419 800   ; -     ; -     ; -     ; -     ; -     ; 2 951 807   ; -     ; 1 664 640   ; -     
MG;Madagascar;CTR;Afrique; 42 234 606   ; -     ; -     ; -     ; 5 654 349   ; 11 151 268   ; -     ; -     ; -     ; -     ; 14 817 393   ; -     ; -     ; -     ; -     ; -     ; -     ; 2 011 596   ; -     ; -     ; -     ; 8 600 000   ; -     ; -     ; -     ; -     ; -     
MY;Malaisie;CTR;Asie; 82 726 419   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 7 215 527   ; -     ; -     ; -     ; -     ; -     ; -     ; 28 765 644   ; -     ; -     ; -     ; 6 145 248   ; -     ; 40 600 000   ; -     ; -     ; -     
MW;Malawi;CTR;Afrique; 10 120 800   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 10 120 800   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
MV;Maldives;CTR;Asie; 61 686 332   ; -     ; -     ; -     ; -     ; -     ; -     ; 61 686 332   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
MT;Malte;CTR;Europe; 246 328 317   ; -     ; 43 138 592   ; -     ; -     ; -     ; -     ; -     ; -     ; 16 985 686   ; -     ; 5 035 782   ; -     ; -     ; -     ; -     ; -     ; 123 752 627   ; -     ; 56 921   ; -     ; 37 680 000   ; -     ; -     ; -     ; 19 678 710   ; -     
MA;Maroc;CTR;Afrique; 203 664 103 270   ; -     ; 5 225 751 427   ; -     ; 6 440 270   ; -     ; 103 903 562   ; -     ; -     ; 370 984 227   ; 28 284 788 529   ; -     ; -     ; 130 909 881   ; 301 735 099   ; -     ; 10 731 726   ; 342 888 327   ; 9 445 780   ; 655 595 700   ; 786 831 351   ; 3 028 406 539   ; -     ; 163 523 547 371   ; 90 146 684   ; 448 449 912   ; -     
MU;Maurice ;CTR;Afrique; 55 194 032 631   ; -     ; 314 305 586   ; -     ; -     ; 244 412 052   ; -     ; 129 929 924   ; -     ; 334 532 005   ; 346 413 787   ; -     ; -     ; 92 756 350   ; 9 949 298 202   ; -     ; 1 842 177   ; 2 102 548 729   ; 16 981 742   ; 570 000 064   ; 69 321 183   ; 28 900 137 490   ; -     ; 5 019 114 013   ; 1 072 771 232   ; 3 231 768 495   ; -     
MR;Mauritanie;CTR;Afrique; 1 910 223 271   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 3 368 337   ; 109 453 018   ; -     ; -     ; -     ; 78 662 349   ; -     ; -     ; 15 103 137   ; -     ; -     ; 93 735 576   ; 706 984 854   ; -     ; -     ; 902 916 000   ; -     ; -     
MZ;Mozanbique;CTR;Afrique; 2 633 640   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 2 633 640   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
NA;Namibie;CTR;Afrique; 1 590 409   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 1 590 409   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
NP;Nepal;CTR;Asie; 1 548 059   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 1 548 059   ; -     ; -     ; -     
NG;Nigeria;CTR;Afrique; 11 240 530 716   ; -     ; 426 262 000   ; -     ; 102 932 175   ; 416 480 000   ; 65 608 819   ; -     ; -     ; 12 610 434   ; 34 861 929   ; -     ; -     ; 14 544 200   ; 497 180 368   ; -     ; 98 459 330   ; 136 767 015   ; 297 659 946   ; 26 136 000   ; 9 932 374   ; 98 669 737   ; -     ; 3 600 000   ; -     ; 8 998 826 389   ; -     
NO;Norvege;CTR;Europe; 699 780 479   ; -     ; 108 423 184   ; -     ; -     ; -     ; -     ; -     ; 1 504 765   ; -     ; 193 503 714   ; -     ; -     ; -     ; 134 065 797   ; -     ; -     ; 3 612 262   ; -     ; -     ; -     ; 258 670 757   ; -     ; -     ; -     ; -     ; -     
NZ;Nouvelle-Zélande;CTR;Océanie; 21 587 545   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 21 587 545   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
UG;Ouganda;CTR;Afrique; 34 032 429   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 21 266 433   ; -     ; -     ; -     ; 3 018 450   ; -     ; -     ; -     ; 9 222 840   ; -     
