REGIONS/DISTRICTS;Population totale 2017; Population 0 à 11 mois; Population 0 à 4 ans; Population de moins de 15 ans; Population de 15 ans et plus; Femme en âge de procréer; Grossesses attendues; Naissances attendues; Complications obstétricales attendues
ZUENOULA;232491;8112;42663;109121;123370;49274;8744;7287;1093
N'ZI-IFFOU;1025 739;36210;164259;448885;576854;218517;37343;31120;4668
BOCANDA;175960;6486;29478;81666;94294;35419;6054;5045;757
BONGOUANOU;393799;14194;62745;166908;226891;86103;14818;12348;1852
DAOUKRO;180513;5902;27406;77290;103223;39534;6704;5587;838
DIMBOKRO;102363;3053;14558;42030;60333;22361;3823;3186;478
M'BAHIAKRO;90512;3374;15258;42060;48452;18468;3128;2607;391
PRIKRO;82592;3200;14815;38930;43662;16631;2816;2347;352
PORO-TCHOLOGO-BAGOUE1838 508;69972;339772;843029;995479;420678;71233;59361;8903
BOUNDIALI;291671;11263;52824;131899;159772;65842;11164;9303;1395
FERKESSEDOUGOU;268140;10541;54323;132955;135185;57574;10099;8416;1262
KORHOGO;869860;31032;150576;384562;485298;206841;34874;29062;4359
OUANGOLODOUGOU;274605;11119;57691;135085;139520;61377;10171;8476;1271
TENGRELA;134232;6017;24358;58528;75704;29045;4925;4104;616
SUD-COMOE;666215;23604;105434;279776;386439;163231;30329;25274;3791
ABOISSO;319154;11433;52034;138171;180983;75956;14082;11735;1760
ADIAKE;161423;6264;27593;71136;90287;37596;7037;5864;880
GRAND-BASSAM;185638;5908;25806;70468;115170;49678;9210;7675;1151
TONKPI;1073 147;39438;184054;461624;611523;236123;41882;34902;5236
BIANKOUMA;212095;8218;36285;86130;125965;46304;8318;6932;1040
DANANE;288835;10072;52134;130337;158498;61844;11004;9170;1376
MAN;361297;13457;59041;151588;209709;80649;14330;11942;1791
ZOUAN-HOUNIEN;210920;7691;36595;93569;117351;47326;8230;6858;1029
WORODOUGOUBERE;711375;27603;136159;326972;384403;160797;28752;23960;3594
MANKONO;426233;16850;82664;198784;227449;98488;17309;14424;2164
SEGUELA;285142;10753;53495;128188;156954;62309;11443;9536;1430
TOTAL CI;24571 046;863699;3988 677;10260 386;14310 660;5934 992;1049 902;874919;131240
