ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9,FLD10,FLD11,FLD12,FLD13,FLD14
18,D08,AKOUPE,YES,DISTRICT,11,5,16,2,0,2,0,2,0,16,3,4,18,18
19,D09,ALEPE,YES,DISTRICT,11,8,19,1,1,2,0,2,0,15,2,19,21,21
20,D61,SIKENSI,YES,DISTRICT,9,1,10,1,0,1,0,1,0,9,2,2,11,11
21,D67,TIASSALE,YES,DISTRICT,19,9,28,2,1,3,0,3,0,16,4,8,31,31
22,R04,BELIER,N/A,REGION,79,17,96,4,2,6,1,7,0,75,15,26,103,103
23,D30,DIDIEVI,YES,DISTRICT,13,2,15,1,0,1,0,1,0,10,3,1,16,16
24,D68,TIEBISSOU,YES,DISTRICT,20,3,23,1,0,1,0,1,0,15,2,2,24,24
25,D71,TOUMODI,YES,DISTRICT,19,4,23,2,1,3,0,3,0,25,5,4,26,26
26,D73,YAMOUSSOUKRO,YES,DISTRICT,27,8,35,0,1,1,1,2,0,25,5,19,37,37
27,R05,BOUNKANI-GONTOUGO,N/A,REGION,135,31,166,5,4,9,1,10,0,77,10,7,176,176
28,D15,BONDOUKOU,YES,DISTRICT,40,14,54,1,2,3,1,4,0,32,2,4,58,58
29,D22,BOUNA,YES,DISTRICT,31,6,37,1,1,2,0,2,0,10,2,1,39,39
30,D52,NASSIAN,YES,DISTRICT,8,2,10,1,0,1,0,1,0,6,2,0,11,11
31,D65,TANDA,YES,DISTRICT,56,9,65,2,1,3,0,3,0,29,4,2,68,68
32,R06,CAVALLY-GUEMON,N/A,REGION,106,18,124,5,1,6,1,7,0,69,17,15,131,131
33,D10,BANGOLO,YES,DISTRICT,19,0,19,1,0,1,0,1,0,15,2,1,20,20
34,D13,BLOLEQUIN,YES,DISTRICT,8,2,10,1,0,1,0,1,0,10,4,1,11,11
35,D33,DUEKOUE,YES,DISTRICT,29,6,35,1,1,2,0,2,0,21,3,6,37,37
