ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3
87,D23,BOUNDIALI,YES,DISTRICT,0,0,1
88,D34,FERKESSEDOUGOU,YES,DISTRICT,0,1,3
89,D45,KORHOGO,YES,DISTRICT,0,1,4
90,D55,OUANGOLODOUGOU,YES,DISTRICT,0,0,1
91,D66,TENGRELA,YES,DISTRICT,0,0,1
92,R18,SUD-COMOE,N/A,REGION,0,1,6
93,D03,ABOISSO,YES,DISTRICT,0,1,2
94,D04,ADIAKE,YES,DISTRICT,0,0,2
95,D37,GRAND-BASSAM,YES,DISTRICT,0,0,2
96,R19,TONKPI,N/A,REGION,0,1,4
97,D12,BIANKOUMA,YES,DISTRICT,0,0,1
98,D28,DANANE,YES,DISTRICT,0,0,1
99,D48,MAN,YES,DISTRICT,0,1,1
100,D74,ZOUAN-HOUNIEN,YES,DISTRICT,0,0,1
101,R20,WORODOUGOU-BERE,N/A,REGION,0,1,5
102,D49,MANKONO,YES,DISTRICT,0,0,3
103,D60,SEGUELA,YES,DISTRICT,0,1,2
104,P01,TOTAL CI,N/A,PAYS,4,17,124
