CODE,ADM_NAME,CONTINENT,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9,FLD10,FLD11,FLD12,FLD13,FLD14,FLD15,FLD16,FLD17
MA,Maroc,Afrique,CTR,2.02245E+11,2.00149E+11,1518274779,145644304,4673038,5840000,19941867,0,0,0,264280328,0,137355303.1,0,0,0
MU,Maurice ,Afrique,CTR,53012057936,51314125366,939378491.5,30997117,4974720,0,0,0,15521254,0,388099639,0,318961349,0,0,0
MR,Mauritanie,Afrique,CTR,1810299213,1690528726,119770487,0,0,0,0,0,0,0,0,0,0,0,0,0
MZ,Mozanbique,Afrique,CTR,2633640,0,0,0,0,0,0,0,0,0,0,0,2633640,0,0,0
NA,Namibie,Afrique,CTR,1590409,0,1590409,0,0,0,0,0,0,0,0,0,0,0,0,0
NP,Nepal,Asie,CTR,1548059,0,1548059,0,0,0,0,0,0,0,0,0,0,0,0,0
NG,Nigeria,Afrique,CTR,10784301475,10721400754,11383354,0,45637018,0,2000000,0,0,0,0,0,3880349,0,0,0
NO,Norvege,Europe,CTR,678592265.3,438636254,239956011.3,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ,Nouvelle-Zélande,Océanie,CTR,21587545,21587545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OCE,Océanie,Océanie,CTN,483905963.6,262574126,131151368,0,81112969.63,0,9067500,0,0,0,0,0,0,0,0,0
UG,Ouganda,Afrique,CTR,24431297,14695026,4414031,0,5322240,0,0,0,0,0,0,0,0,0,0,0
PK,Pakistan,Asie,CTR,89787396,79627158,10160238,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,Panama,Amérique,CTR,104475000,52237500,52237500,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,Pays-Bas,Europe,CTR,19053338733,18045651279,607551709,0,191158519.3,0,0,0,0,0,142721331,0,66255895,0,0,0
PE,Perou,Amérique,CTR,28706404,23182721,5523683,0,0,0,0,0,0,0,0,0,0,0,0,0
PH,Philippines,Asie,CTR,543957262,538777382,5179880,0,0,0,0,0,0,0,0,0,0,0,0,0
PL,Pologne,Europe,CTR,183588206.9,179278569,4309637.89,0,0,0,0,0,0,0,0,0,0,0,0,0
PT,Portugal,Europe,CTR,2290419146,1954731813,214920957.7,0,0,0,0,38701463,0,0,82064912,0,0,0,0,0
CD,République Démocratique Du Congo,Afrique,CTR,182681288,137380745,34712790,0,8849159,960566,0,0,0,0,0,0,778028,0,0,0
DO,Republique Dominicaine,Amérique,CTR,40326378,0,0,40326378,0,0,0,0,0,0,0,0,0,0,0,0
CG,République Du Congo,Afrique,CTR,1526200,0,1526200,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ,République Tchèque,Europe,CTR,1810441,1810441,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Roumanie,Europe,CTR,70733034,0,70733034,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,Royaume-Uni,Europe,CTR,3.46192E+11,3.42628E+11,2342098501,129955464,156250557,111515814,86231643,11959570,21581955,12780000,418590131.8,0,260394613,12964124,0,0
