CODE,ADM_NAME,LEVEL,CONTINENT,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9,FLD10,FLD11,FLD12,FLD13,FLD14,FLD15,FLD16,FLD17,FLD18,FLD19,FLD20,FLD21,FLD22,FLD23,FLD24,FLD25,FLD26,FLD27
PT,Portugal,CTR,Europe,2426478556,0,58708351,0,39357420,0,0,146440393,0,71423222,128251644,0,0,25000000,777198114,0,0,410532958,5705700,0,0,123119209,0,136902077,0,503839468,0
CD,République Démocratique Du Congo,CTR,Europe,291685739,0,4462833,0,0,1612867,0,0,0,88391152,13000000,0,0,0,13408756,0,0,51991463,2144979,0,0,95835601,2273700,0,0,18564388,0
DO,Republique Dominicaine,CTR,Europe,40326378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40326378,0,0,0,0,0,0,0,0,0
CG,République Du Congo,CTR,Afrique,1526200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1526200,0
CZ,République Tchèque,CTR,Afrique,5906626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5090226,0,0,0,816400,0,0,0,0,0
RO,Roumanie,CTR,Afrique,70733034,0,0,0,0,0,0,0,0,850000,0,0,0,0,0,0,0,0,0,0,0,69883034,0,0,0,0,0
GB,Royaume-Uni,CTR,Asie,350026033694,80886950,6762752659,0,11135061,138775426,10895312,2072289327,5304068,981526602,1519418035,0,0,45232377,41655789255,0,9052206,2258124027,169004245,25607500,3010122837,284115414996,869932029,3565191174,1631508581,1045424835,42646192
RU,Russie,CTR,Europe,958909479,0,0,0,0,0,0,0,0,4294408,16600000,0,0,729031,885380303,0,0,2178771,4274308,0,0,0,0,0,0,45452658,0
RW,Rwanda,CTR,Europe,148278533,0,0,0,0,0,0,0,0,12627780,0,0,0,0,0,0,0,125485522,0,0,0,6375670,0,3279785,0,509776,0
SC,Seychelles,CTR,Europe,383283459,0,0,0,0,0,0,81076286,0,0,213186325,0,0,0,0,0,0,79040851,0,0,0,9979997,0,0,0,0,0
SL,Sierra Leone,CTR,Europe,50374630,0,0,0,0,0,0,0,0,0,979965,0,0,0,0,0,0,49394665,0,0,0,0,0,0,0,0,0
SG,Singapour ,CTR,Asie,9684103785,0,12440800,0,0,3474540,0,0,0,4800000,133777784,0,0,5931702,47322622,0,26050308,1509057110,0,0,2970000,5971924159,0,1919128596,0,47226165,0
SK,Slovaquie,CTR,Afrique,13647614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13647614,0,0,0
SI,Slovénie,CTR,Afrique,15504135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15504135,0,0,0,0,0,0
SE,Suède,CTR,Afrique,4379024757,0,0,0,0,0,0,0,0,0,0,0,0,16252467,4082554824,0,0,17889457,0,0,0,138089790,0,124238219,0,0,0
CH,Suisse,CTR,Asie,18515895999,0,700977685,0,71750058,263055812,2255000,1689591454,2378100,779927430,1164314767,2975000,74855189,168460551,665736324,0,107285828,1026725974,34413502,359267497,7663545,7141365718,630414762,2603243206,138312693,880925905,0
TW,Taïwan,CTR,Asie,27319835,0,27319835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TZ,Tanzanie,CTR,Afrique,115836946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28120636,8980000,0,0,77684288,1052022,0,0,0,0
TD,Tchad,CTR,Afrique,720082994,3750000,577262180,0,0,0,0,0,0,0,2596050,0,0,0,0,0,0,22474764,0,0,0,114000000,0,0,0,0,0
TN,Tunisie,CTR,Afrique,4370860223,0,1049552534,0,35929519,257632337,1562489,100616525,0,251891714,84913615,0,50421675,454760965,175485809,0,8069425,665798027,718800,11426771,271162727,111709219,6025621,251487115,0,581695335,0
TR,Turquie,CTR,Amérique,1390629181,0,40013377,0,2955000,0,1311914,0,0,9645215,0,0,0,0,0,0,0,1070627887,2492637,3055000,65013376,10767651,0,9098123,0,175649001,0
VD,Vietnam,CTR,Asie,204055574,0,0,0,0,0,0,54378835,0,0,0,0,0,0,45530816,0,0,77796503,0,9800000,0,0,0,0,0,16549420,0
ZM,Zambie,CTR,Europe,675559007,600000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75559007,0,0,0,0,0,0,0,0,0
ZW,Zimbabwe,CTR,Océanie,2128020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694500,0,0,0,0,0,0,1433520,0,0
