ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3,FLD4
47,D58,SAN-PEDRO,YES,DISTRICT,26,13,0.5,2
48,D59,SASSANDRA,YES,DISTRICT,29,8,0.3,4
49,D63,SOUBRE,YES,DISTRICT,115,10,0.1,12
50,D64,TABOU,YES,DISTRICT,24,3,0.1,8
51,R09,GÔH,N/A,REGION,110,13,0.1,8
52,D36,GAGNOA,YES,DISTRICT,83,7,0.1,12
53,D56,OUME,YES,DISTRICT,27,6,0.2,5
54,R10,HAMBOL,N/A,REGION,48,14,0.3,3
55,D25,DABAKALA,YES,DISTRICT,22,6,0.3,4
56,D44,KATIOLA,YES,DISTRICT,14,4,0.3,4
57,D53,Niakaramandougou,YES,DISTRICT,12,4,0.3,3
58,R11,HAUT SASSANDRA,N/A,REGION,100,19,0.2,5
59,D27,DALOA,YES,DISTRICT,43,8,0.2,5
60,D42,ISSIA,YES,DISTRICT,29,4,0.1,7
61,D72,VAVOUA,YES,DISTRICT,28,7,0.3,4
62,R12,INDENIE DUABLIN,N/A,REGION,66,22,0.3,3
63,D01,ABENGOUROU,YES,DISTRICT,36,13,0.4,3
64,D07,AGNIBILEKROU,YES,DISTRICT,21,6,0.3,4
65,D11,BETTIE,YES,DISTRICT,9,3,0.3,3
66,R13,KABADOUGOU-BAFING-FOLON,N/A,REGION,98,52,0.5,2
67,D51,MINIGNAN,YES,DISTRICT,20,8,0.4,3
68,D54,ODIENNE,YES,DISTRICT,44,31,0.7,1
69,D69,TOUBA,YES,DISTRICT,34,13,0.4,3
70,R14,LÔH-DJIBOUA,N/A,REGION,105,19,0.2,6
71,D32,DIVO,YES,DISTRICT,44,9,0.2,5
72,D35,FRESCO,YES,DISTRICT,17,3,0.2,6
73,D41,GUITRY,YES,DISTRICT,14,4,0.3,4
74,D47,LAKOTA,YES,DISTRICT,30,3,0.1,10
75,R15,MARAHOUE,N/A,REGION,74,19,0.3,4
76,D16,BOUAFLE,YES,DISTRICT,36,7,0.2,5
77,D62,SINFRA,YES,DISTRICT,13,5,0.4,3
78,D75,ZUENOULA,YES,DISTRICT,25,7,0.3,4
79,R16,N'ZI-IFFOU,N/A,REGION,142,37,0.3,4
80,D14,BOCANDA,YES,DISTRICT,23,4,0.2,6
81,D24,BONGOUANOU,YES,DISTRICT,44,21,0.5,2
82,D29,DAOUKRO,YES,DISTRICT,28,6,0.2,5
83,D31,DIMBOKRO,YES,DISTRICT,21,3,0.1,7
84,D50,M'BAHIAKRO,YES,DISTRICT,13,2,0.2,7
85,D57,PRIKRO,YES,DISTRICT,13,1,0.1,13
86,R17,PORO-TCHOLOGO-BAGOUE,N/A,REGION,186,72,0.4,3
87,D23,BOUNDIALI,YES,DISTRICT,41,16,0.4,3
88,D34,FERKESSEDOUGOU,YES,DISTRICT,22,13,0.6,2
89,D45,KORHOGO,YES,DISTRICT,93,28,0.3,3
90,D55,OUANGOLODOUGOU,YES,DISTRICT,16,10,0.6,2
91,D66,TENGRELA,YES,DISTRICT,14,5,0.4,3
92,R18,SUD-COMOE,N/A,REGION,101,32,0.3,3
93,D03,ABOISSO,YES,DISTRICT,48,19,0.4,3
94,D04,ADIAKE,YES,DISTRICT,26,6,0.2,4
95,D37,GRAND-BASSAM,YES,DISTRICT,27,7,0.3,4
96,R19,TONKPI,N/A,REGION,119,20,0.2,6
97,D12,BIANKOUMA,YES,DISTRICT,31,4,0.1,8
98,D28,DANANE,YES,DISTRICT,23,3,0.1,8
99,D48,MAN,YES,DISTRICT,40,7,0.2,6
100,D74,ZOUAN-HOUNIEN,YES,DISTRICT,25,6,0.2,4
101,R20,WORODOUGOU-BERE,N/A,REGION,84,26,0.3,3
102,D49,MANKONO,YES,DISTRICT,47,10,0.2,5
103,D60,SEGUELA,YES,DISTRICT,37,16,0.4,2
104,P01,TOTAL CI,N/A,PAYS,2372,536,0.2,4
