ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3
38,D70,TOULEPLEU,YES,DISTRICT,58890,3,0.05
39,R07,GBEKE,N/A,REGION,1064759,23,0.02
40,D20,BEOUMI,YES,DISTRICT,162429,2,0.01
41,D17,BOUAKE NORD-EST,YES,DISTRICT,189861,14,0.07
42,D18,BOUAKE NORD-OUEST,YES,DISTRICT,424821,0,0
43,D19,BOUAKE-SUD,YES,DISTRICT,188081,5,0.03
44,D21,SAKASSOU,YES,DISTRICT,99566,2,0.02
45,R08,GBOKLE-NAWA-SAN-PEDRO,N/A,REGION,2251821,273,0.12
46,D39,GUEYO,YES,DISTRICT,86467,2,0.02
47,D58,SAN-PEDRO,YES,DISTRICT,652175,116,0.18
48,D59,SASSANDRA,YES,DISTRICT,309474,29,0.09
49,D63,SOUBRE,YES,DISTRICT,1001686,121,0.12
50,D64,TABOU,YES,DISTRICT,202019,5,0.02
51,R09,GÔH,N/A,REGION,981377,52,0.05
52,D36,GAGNOA,YES,DISTRICT,674435,44,0.07
53,D56,OUME,YES,DISTRICT,306942,8,0.03
54,R10,HAMBOL,N/A,REGION,475606,17,0.04
55,D25,DABAKALA,YES,DISTRICT,209338,3,0.01
56,D44,KATIOLA,YES,DISTRICT,118250,12,0.1
57,D53,Niakaramandougou,YES,DISTRICT,148018,2,0.01
58,R11,HAUT SASSANDRA,N/A,REGION,1478612,41,0.03
59,D27,DALOA,YES,DISTRICT,725530,39,0.05
60,D42,ISSIA,YES,DISTRICT,338819,2,0.01
61,D72,VAVOUA,YES,DISTRICT,414263,0,0
62,R12,INDENIE DUABLIN,N/A,REGION,607750,6,0.01
63,D01,ABENGOUROU,YES,DISTRICT,364530,6,0.02
64,D07,AGNIBILEKROU,YES,DISTRICT,182388,0,0
65,D11,BETTIE,YES,DISTRICT,60832,0,0
66,R13,KABADOUGOU-BAFING-FOLON,N/A,REGION,512209,17,0.03
67,D51,MINIGNAN,YES,DISTRICT,104838,1,0.01
68,D54,ODIENNE,YES,DISTRICT,204534,7,0.03
69,D69,TOUBA,YES,DISTRICT,202837,9,0.04
70,R14,LÔH-DJIBOUA,N/A,REGION,889497,19,0.02
71,D32,DIVO,YES,DISTRICT,409242,11,0.03
72,D35,FRESCO,YES,DISTRICT,104671,3,0.03
73,D41,GUITRY,YES,DISTRICT,157950,1,0.01
74,D47,LAKOTA,YES,DISTRICT,217634,4,0.02
75,R15,MARAHOUE,N/A,REGION,934033,15,0.02
76,D16,BOUAFLE,YES,DISTRICT,443740,13,0.03
77,D62,SINFRA,YES,DISTRICT,257802,2,0.01
78,D75,ZUENOULA,YES,DISTRICT,232491,0,0
79,R16,N'ZI-IFFOU,N/A,REGION,1025739,42,0.04
80,D14,BOCANDA,YES,DISTRICT,175960,1,0.01
81,D24,BONGOUANOU,YES,DISTRICT,393799,16,0.04
82,D29,DAOUKRO,YES,DISTRICT,180513,5,0.03
83,D31,DIMBOKRO,YES,DISTRICT,102363,2,0.02
84,D50,M'BAHIAKRO,YES,DISTRICT,90512,18,0.2
85,D57,PRIKRO,YES,DISTRICT,82592,0,0
86,R17,PORO-TCHOLOGO-BAGOUE,N/A,REGION,1838508,36,0.02
87,D23,BOUNDIALI,YES,DISTRICT,291671,3,0.01
88,D34,FERKESSEDOUGOU,YES,DISTRICT,268140,0,0
89,D45,KORHOGO,YES,DISTRICT,869860,21,0.02
90,D55,OUANGOLODOUGOU,YES,DISTRICT,274605,5,0.02
91,D66,TENGRELA,YES,DISTRICT,134232,7,0.05
92,R18,SUD-COMOE,N/A,REGION,666215,50,0.08
93,D03,ABOISSO,YES,DISTRICT,319154,37,0.12
94,D04,ADIAKE,YES,DISTRICT,161423,8,0.05
95,D37,GRAND-BASSAM,YES,DISTRICT,185638,5,0.03
96,R19,TONKPI,N/A,REGION,1073147,45,0.04
97,D12,BIANKOUMA,YES,DISTRICT,212095,14,0.07
98,D28,DANANE,YES,DISTRICT,288835,4,0.01
99,D48,MAN,YES,DISTRICT,361297,16,0.04
100,D74,ZOUAN-HOUNIEN,YES,DISTRICT,210920,11,0.05
101,R20,WORODOUGOU-BERE,N/A,REGION,711375,21,0.03
102,D49,MANKONO,YES,DISTRICT,426233,1,0
103,D60,SEGUELA,YES,DISTRICT,285142,20,0.07
104,P01,TOTAL CI,N/A,PAYS,24571046,1177,0.05
