CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9
R05,BOUNKANI-GONTOUGO,N/A,REGION,988077,34112,168746,444837,543240,225029,40884,34070,5111
D15,BONDOUKOU,YES,DISTRICT,407525,14391,68160,180697,226828,93120,17124,14270,2141
D22,BOUNA,YES,DISTRICT,242308,7741,46261,113765,128543,57382,10134,8445,1267
D52,NASSIAN,YES,DISTRICT,48462,1563,7743,21445,27017,10894,1924,1603,240
D65,TANDA,YES,DISTRICT,289782,10418,46583,128929,160853,63634,11702,9752,1463
R06,CAVALLY-GUEMON,N/A,REGION,1496211,65671,287096,666063,830148,328447,58188,48490,7273
D10,BANGOLO,YES,DISTRICT,353264,16489,71734,159177,194087,76968,13322,11102,1665
D13,BLOLEQUIN,YES,DISTRICT,127443,4817,22830,49215,78228,26411,4912,4093,614
D33,DUEKOUE,YES,DISTRICT,453224,18441,87511,212901,240323,102469,17735,14779,2217
D40,GUIGLO,YES,DISTRICT,288948,14497,53054,125019,163929,65681,12217,10181,1527
D46,KOUIBLY,YES,DISTRICT,214442,9196,42048,94526,119916,45308,7843,6536,980
D70,TOULEPLEU,YES,DISTRICT,58890,2230,9918,25224,33666,11610,2159,1799,270
R07,GBEKE,N/A,REGION,1064759,36253,165796,446239,618520,243579,44444,37037,5555
D20,BEOUMI,YES,DISTRICT,162429,5879,27517,74963,87466,32023,5843,4869,730
D17,BOUAKE NORD-EST,YES,DISTRICT,189861,6299,28570,77130,112731,45533,11923,9936,1490
D18,BOUAKE NORD-OUEST,YES,DISTRICT,424821,14094,63926,172582,252239,101881,10981,9151,1373
D19,BOUAKE-SUD,YES,DISTRICT,188081,6240,28302,76407,111674,45106,12224,10187,1528
D21,SAKASSOU,YES,DISTRICT,99566,3741,17482,45156,54410,19036,3473,2894,434
