ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9,FLD10,FLD11,FLD12
20,D61,SIKENSI,YES,DISTRICT,1,1,0,1,1,0,1,1,0,1,1,0
21,D67,TIASSALE,YES,DISTRICT,3,3,0,1,1,0,0,0,0,1,0,1
22,R04,BELIER,N/A,REGION,7,7,0,2,2,0,2,2,0,1,1,0
23,D30,DIDIEVI,YES,DISTRICT,1,1,0,1,1,0,1,1,0,2,2,0
24,D68,TIEBISSOU,YES,DISTRICT,1,1,0,0,0,0,0,0,0,0,0,0
25,D71,TOUMODI,YES,DISTRICT,4,4,0,2,1,1,2,0,2,2,2,0
26,D73,YAMOUSSOUKRO,YES,DISTRICT,1,1,0,4,3,1,4,3,1,7,7,0
27,R05,BOUNKANI-GONTOUGO,N/A,REGION,9,7,2,1,1,0,1,1,0,1,1,0
28,D15,BONDOUKOU,YES,DISTRICT,5,4,1,0,0,0,0,0,0,0,0,0
29,D22,BOUNA,YES,DISTRICT,2,1,1,1,1,0,1,0,1,1,1,0
30,D52,NASSIAN,YES,DISTRICT,1,1,0,2,1,1,2,2,0,2,2,0
31,D65,TANDA,YES,DISTRICT,1,1,0,1,1,0,1,1,0,4,4,0
32,R06,CAVALLY-GUEMON,N/A,REGION,8,8,0,0,0,0,0,0,0,0,0,0
33,D10,BANGOLO,YES,DISTRICT,1,1,0,4,2,2,3,1,2,3,1,2
34,D13,BLOLEQUIN,YES,DISTRICT,1,1,0,1,1,0,1,1,0,1,1,0
35,D33,DUEKOUE,YES,DISTRICT,2,2,0,2,0,2,1,0,1,1,0,1
36,D40,GUIGLO,YES,DISTRICT,2,2,0,0,0,0,0,0,0,0,0,0
37,D46,KOUIBLY,YES,DISTRICT,1,1,0,1,1,0,1,0,1,1,0,1
38,D70,TOULEPLEU,YES,DISTRICT,1,1,0,4,2,2,4,3,1,5,5,0
39,R07,GBEKE,N/A,REGION,3,3,0,1,0,1,1,0,1,1,0,1
40,D20,BEOUMI,YES,DISTRICT,1,1,0,1,0,1,1,1,0,1,1,0
41,D17,BOUAKE NORD-EST,YES,DISTRICT,0,0,0,0,0,0,1,1,0,1,1,0
42,D18,BOUAKE NORD-OUEST,YES,DISTRICT,1,1,0,1,1,0,1,0,1,1,1,0
43,D19,BOUAKE-SUD,YES,DISTRICT,0,0,0,1,1,0,1,1,0,1,1,0
44,D21,SAKASSOU,YES,DISTRICT,1,1,0,0,0,0,0,0,0,0,0,0
45,R08,GBOKLE-NAWA-SAN-PEDRO,N/A,REGION,8,8,0,4,4,0,5,5,0,5,5,0
46,D39,GUEYO,YES,DISTRICT,1,1,0,1,0,1,0,0,0,1,1,0
47,D58,SAN-PEDRO,YES,DISTRICT,2,2,0,2,1,1,2,2,0,4,4,0
48,D59,SASSANDRA,YES,DISTRICT,1,1,0,1,1,0,0,0,0,1,1,0
49,D63,SOUBRE,YES,DISTRICT,2,2,0,0,0,0,0,0,0,0,0,0
50,D64,TABOU,YES,DISTRICT,2,2,0,0,0,0,0,0,0,0,0,0
51,R09,GÔH,N/A,REGION,5,5,0,2,2,0,2,2,0,3,3,0
52,D36,GAGNOA,YES,DISTRICT,4,4,0,0,0,0,1,1,0,2,2,0
53,D56,OUME,YES,DISTRICT,1,1,0,1,0,1,1,1,0,1,1,0
54,R10,HAMBOL,N/A,REGION,3,3,0,1,1,0,1,1,0,1,1,0
55,D25,DABAKALA,YES,DISTRICT,1,1,0,6,6,0,6,5,1,6,5,1
56,D44,KATIOLA,YES,DISTRICT,1,1,0,0,0,0,0,0,0,0,0,0
57,D53,Niakaramandougou,YES,DISTRICT,1,1,0,2,2,0,2,2,0,2,2,0
58,R11,HAUT SASSANDRA,N/A,REGION,9,8,1,1,1,0,2,2,0,1,1,0
59,D27,DALOA,YES,DISTRICT,6,5,1,1,1,0,1,0,1,1,1,0
60,D42,ISSIA,YES,DISTRICT,2,2,0,2,2,0,2,2,0,2,1,1
61,D72,VAVOUA,YES,DISTRICT,1,1,0,1,1,0,1,1,0,1,1,0
62,R12,INDENIE DUABLIN,N/A,REGION,9,9,0,7,4,3,7,3,4,5,4,1
63,D01,ABENGOUROU,YES,DISTRICT,6,6,0,5,5,0,4,4,0,3,3,0
64,D07,AGNIBILEKROU,YES,DISTRICT,1,1,0,4,4,0,3,3,0,2,2,0
65,D11,BETTIE,YES,DISTRICT,2,2,0,1,1,0,1,1,0,1,1,0
66,R13,KABADOUGOU-BAFING-FOLON,N/A,REGION,5,5,0,1,0,1,1,0,1,0,0,0
67,D51,MINIGNAN,YES,DISTRICT,2,2,0,2,2,0,2,2,0,3,3,0
68,D54,ODIENNE,YES,DISTRICT,2,2,0,1,1,0,1,1,0,1,1,0
69,D69,TOUBA,YES,DISTRICT,1,1,0,1,1,0,1,1,0,1,1,0
70,R14,LÔH-DJIBOUA,N/A,REGION,11,11,0,2,1,1,2,1,1,1,1,0
71,D32,DIVO,YES,DISTRICT,6,6,0,0,0,0,0,0,0,1,1,0
72,D35,FRESCO,YES,DISTRICT,2,2,0,4,4,0,4,4,0,3,3,0
73,D41,GUITRY,YES,DISTRICT,2,2,0,2,2,0,2,2,0,1,1,0
74,D47,LAKOTA,YES,DISTRICT,1,1,0,1,1,0,1,1,0,1,1,0
75,R15,MARAHOUE,N/A,REGION,5,4,1,3,2,1,3,2,1,3,3,0
76,D16,BOUAFLE,YES,DISTRICT,1,0,1,1,1,0,1,1,0,1,1,0
77,D62,SINFRA,YES,DISTRICT,2,2,0,2,2,0,3,3,0,2,2,0
78,D75,ZUENOULA,YES,DISTRICT,2,2,0,1,1,0,2,2,0,1,1,0
79,R16,N'ZI-IFFOU,N/A,REGION,10,10,0,1,1,0,1,0,1,1,0,1
80,D14,BOCANDA,YES,DISTRICT,1,1,0,1,1,0,1,1,0,1,1,0
81,D24,BONGOUANOU,YES,DISTRICT,3,3,0,0,0,0,0,0,0,0,0,0
82,D29,DAOUKRO,YES,DISTRICT,2,2,0,2,2,0,3,3,0,2,2,0
83,D31,DIMBOKRO,YES,DISTRICT,2,2,0,0,0,0,0,0,0,0,0,0
84,D50,M'BAHIAKRO,YES,DISTRICT,1,1,0,1,1,0,2,2,0,1,1,0
85,D57,PRIKRO,YES,DISTRICT,1,1,0,1,1,0,1,1,0,1,1,0
86,R17,PORO-TCHOLOGO-BAGOUE,N/A,REGION,10,9,1,2,2,0,1,1,0,2,2,0
87,D23,BOUNDIALI,YES,DISTRICT,2,2,0,4,3,1,4,2,2,5,4,1
88,D34,FERKESSEDOUGOU,YES,DISTRICT,3,3,0,3,3,0,1,1,0,1,1,0
89,D45,KORHOGO,YES,DISTRICT,1,1,0,0,0,0,1,0,1,2,2,0
90,D55,OUANGOLODOUGOU,YES,DISTRICT,3,3,0,0,0,0,1,0,1,1,0,1
91,D66,TENGRELA,YES,DISTRICT,1,0,1,1,0,1,1,1,0,1,1,0
92,R18,SUD-COMOE,N/A,REGION,12,12,0,1,1,0,0,0,0,1,1,0
93,D03,ABOISSO,YES,DISTRICT,3,3,0,3,3,0,2,2,0,5,5,0
94,D04,ADIAKE,YES,DISTRICT,2,2,0,1,1,0,1,1,0,2,2,0
95,D37,GRAND-BASSAM,YES,DISTRICT,7,7,0,1,1,0,0,0,0,1,1,0
96,R19,TONKPI,N/A,REGION,10,9,1,1,1,0,1,1,0,1,1,0
97,D12,BIANKOUMA,YES,DISTRICT,2,2,0,1,1,0,1,1,0,2,2,0
98,D28,DANANE,YES,DISTRICT,2,1,1,7,7,0,5,5,0,6,5,1
99,D48,MAN,YES,DISTRICT,4,4,0,1,1,0,1,1,0,1,1,0
100,D74,ZOUAN-HOUNIEN,YES,DISTRICT,2,2,0,1,1,0,1,1,0,1,1,0
101,R20,WORODOUGOU-BERE,N/A,REGION,9,9,0,89,74,15,85,71,13,126,115,11
102,D49,MANKONO,YES,DISTRICT,5,5,0,1,1,0,1,1,0,1,1,0
103,D60,SEGUELA,YES,DISTRICT,4,4,0,2,2,0,1,1,0,1,0,1
104,P01,TOTAL CI,N/A,PAYS,232,224,8,1,1,0,1,1,0,1,1,0
