ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3,FLD4,FLD5
53,D56,OUME,YES,DISTRICT,306942,124781,40.7,27266,8.9
54,R10,HAMBOL,N/A,REGION,475606,224565,47.2,49309,10.4
55,D25,DABAKALA,YES,DISTRICT,209338,90571,43.3,11476,5.5
56,D44,KATIOLA,YES,DISTRICT,118250,47325,40,27204,23
57,D53,Niakaramandougou,YES,DISTRICT,148018,86669,58.6,10629,7.2
58,R11,HAUT SASSANDRA,N/A,REGION,1478612,442558,29.9,113234,7.7
59,D27,DALOA,YES,DISTRICT,725530,213828,29.5,54322,7.5
60,D42,ISSIA,YES,DISTRICT,338819,126138,37.2,35385,10.4
61,D72,VAVOUA,YES,DISTRICT,414263,102592,24.8,23527,5.7
62,R12,INDENIE DUABLIN,N/A,REGION,607750,372122,61.2,55275,9.1
63,D01,ABENGOUROU,YES,DISTRICT,364530,245654,67.4,27164,7.5
64,D07,AGNIBILEKROU,YES,DISTRICT,182388,82199,45.1,15305,8.4
65,D11,BETTIE,YES,DISTRICT,60832,44269,72.8,12806,21.1
66,R13,KABADOUGOU-BAFING-FOLON,N/A,REGION,512209,236568,46.2,58183,11.4
67,D51,MINIGNAN,YES,DISTRICT,104838,45662,43.6,3773,3.6
68,D54,ODIENNE,YES,DISTRICT,204534,88379,43.2,28677,14
69,D69,TOUBA,YES,DISTRICT,202837,102527,50.5,25733,12.7
70,R14,LÔH-DJIBOUA,N/A,REGION,889497,362967,40.8,79837,9
71,D32,DIVO,YES,DISTRICT,409242,163671,40,46089,11.3
72,D35,FRESCO,YES,DISTRICT,104671,61292,58.6,11239,10.7
73,D41,GUITRY,YES,DISTRICT,157950,51414,32.6,7507,4.8
74,D47,LAKOTA,YES,DISTRICT,217634,86590,39.8,15002,6.9
75,R15,MARAHOUE,N/A,REGION,934033,364351,39,86743,9.3
76,D16,BOUAFLE,YES,DISTRICT,443740,179408,40.4,38464,8.7
77,D62,SINFRA,YES,DISTRICT,257802,98075,38,27672,10.7
78,D75,ZUENOULA,YES,DISTRICT,232491,86868,37.4,20607,8.9
79,R16,N'ZI-IFFOU,N/A,REGION,1025739,423424,41.3,121146,11.8
80,D14,BOCANDA,YES,DISTRICT,175960,59475,33.8,11637,6.6
81,D24,BONGOUANOU,YES,DISTRICT,393799,168418,42.8,53682,13.6
82,D29,DAOUKRO,YES,DISTRICT,180513,72473,40.1,18531,10.3
83,D31,DIMBOKRO,YES,DISTRICT,102363,57726,56.4,20340,19.9
84,D50,M'BAHIAKRO,YES,DISTRICT,90512,32642,36.1,8666,9.6
85,D57,PRIKRO,YES,DISTRICT,82592,32690,39.6,8290,10
86,R17,PORO-TCHOLOGO-BAGOUE,N/A,REGION,1838508,726619,39.5,171718,9.3
87,D23,BOUNDIALI,YES,DISTRICT,291671,111058,38.1,34097,11.7
88,D34,FERKESSEDOUGOU,YES,DISTRICT,268140,101421,37.8,64458,24
89,D45,KORHOGO,YES,DISTRICT,869860,376395,43.3,55930,6.4
90,D55,OUANGOLODOUGOU,YES,DISTRICT,274605,91718,33.4,8405,3.1
91,D66,TENGRELA,YES,DISTRICT,134232,46027,34.3,8828,6.6
92,R18,SUD-COMOE,N/A,REGION,666215,354716,53.2,143188,21.5
93,D03,ABOISSO,YES,DISTRICT,319154,171317,53.7,43864,13.7
94,D04,ADIAKE,YES,DISTRICT,161423,85136,52.7,18836,11.7
95,D37,GRAND-BASSAM,YES,DISTRICT,185638,98263,52.9,80488,43.4
96,R19,TONKPI,N/A,REGION,1073147,456478,42.5,88745,8.3
97,D12,BIANKOUMA,YES,DISTRICT,212095,71584,33.8,8683,4.1
98,D28,DANANE,YES,DISTRICT,288835,85974,29.8,31820,11
99,D48,MAN,YES,DISTRICT,361297,217849,60.3,35554,9.8
100,D74,ZOUAN-HOUNIEN,YES,DISTRICT,210920,81071,38.4,12688,6
101,R20,WORODOUGOU-BERE,N/A,REGION,711375,255331,35.9,38208,5.4
102,D49,MANKONO,YES,DISTRICT,426233,156985,36.8,11589,2.7
103,D60,SEGUELA,YES,DISTRICT,285142,98346,34.5,26619,9.3
104,P01,TOTAL CI,N/A,PAYS,24571046,10132988,41.2,2581021,10.5
