ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2
57,D53,NIAKARAMANDOUGOU,YES,DISTRICT,0,0
58,R11,HAUT SASSANDRA,N/A,REGION,3,0
59,D27,DALOA,YES,DISTRICT,2,0
60,D42,ISSIA,YES,DISTRICT,0,0
61,D72,VAVOUA,YES,DISTRICT,1,0
62,R12,INDENIE DUABLIN,N/A,REGION,2,0
63,D01,ABENGOUROU,YES,DISTRICT,2,0
64,D07,AGNIBILEKROU,YES,DISTRICT,0,0
65,D11,BETTIE,YES,DISTRICT,0,0
66,R13,KABADOUGOU-BAFING-FOLON,N/A,REGION,0,0
67,D51,MINIGNAN,YES,DISTRICT,0,0
68,D54,ODIENNE,YES,DISTRICT,0,0
69,D69,TOUBA,YES,DISTRICT,0,0
70,R14,LÔH-DJIBOUA,N/A,REGION,0,0
71,D32,DIVO,YES,DISTRICT,0,0
72,D35,FRESCO,YES,DISTRICT,0,0
73,D41,GUITRY,YES,DISTRICT,0,0
74,D47,LAKOTA,YES,DISTRICT,0,0
75,R15,MARAHOUE,N/A,REGION,2,0
76,D16,BOUAFLE,YES,DISTRICT,1,0
77,D62,SINFRA,YES,DISTRICT,1,0
78,D75,ZUENOULA,YES,DISTRICT,0,0
79,R16,N'ZI-IFOU,N/A,REGION,2,0
80,D14,BOCANDA,YES,DISTRICT,0,0
81,D24,BONGOUANOU,YES,DISTRICT,0,0
82,D29,DAOUKRO,YES,DISTRICT,0,0
83,D31,DIMBOKRO,YES,DISTRICT,2,0
84,D50,M'BAHIAKRO,YES,DISTRICT,0,0
85,D57,PRIKRO,YES,DISTRICT,0,0
86,R17,PORO-TCHOLOGO-BAGOUE,N/A,REGION,5,0
87,D23,BOUNDIALI,YES,DISTRICT,0,0
88,D34,FERKESSEDOUGOU,YES,DISTRICT,1,0
89,D45,KORHOGO,YES,DISTRICT,4,0
90,D55,OUANGOLODOUGOU,YES,DISTRICT,0,0
91,D66,TENGRELA,YES,DISTRICT,0,0
92,R18,SUD-COMOE,N/A,REGION,118,0
93,D03,ABOISSO,YES,DISTRICT,29,0
94,D04,ADIAKE,YES,DISTRICT,6,0
95,D37,GRAND-BASSAM,YES,DISTRICT,83,0
96,R19,TONKPI,N/A,REGION,5,0
97,D12,BIANKOUMA,YES,DISTRICT,0,0
98,D28,DANANE,YES,DISTRICT,0,0
99,D48,MAN,YES,DISTRICT,2,0
100,D74,ZOUAN-HOUNIEN,YES,DISTRICT,3,0
101,R20,WORODOUGOU-BERE,N/A,REGION,0,0
102,D49,MANKONO,YES,DISTRICT,0,0
103,D60,SEGUELA,YES,DISTRICT,0,0
